Asvi,AsviR,Sexe,Age,Tage,Couple,Vmatri,Diplome,Occupa,Work,statut,Herit,Pere,Mere,Gparp,gparm,Jgrav,Livep,Epalo,fepsal,vmob,livdf,pel,cel,qpep,asdecv,Retrait,Qpea,Urbani,Zeat,Nbenf,Nbenfq,Iogoc,terre,dette,bdetre,hdetvo,ident
AsO,0,Sf,73,T80,CouN,Vsep,Db+5,Oret,WctA,spub,HerN,PerN,MerN,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeO,U5,Zidf,2,Nbe2,Ipro,terN,detN,bemN,hevN,00057
AsN,1,Sf,49,T50,CouO,Vmar,Dbac,Oina,Wemp,spub,HerO,PerO,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Iloc,terN,detO,bemN,hevN,00058
AsN,1,Sh,57,T60,CouO,Vmar,Db+5,Oact,WctA,spub,HerO,PerN,MerN,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Ipro,terN,detO,bemO,hevN,00059
AsN,1,Sf,56,T60,CouO,Vmar,Db+5,Oact,WctA,spub,HerN,PerN,MerO,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeO,U5,Zidf,1,Nbe1,Ipro,terN,detO,bemO,hevN,00060
AsN,1,Sf,59,T60,CouN,Vsep,Db+2,Oact,WctB,spub,HerO,PerN,MerN,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,3,Nb>3,Ipro,terN,detO,bemN,hevN,00061
AsN,1,Sh,26,T30,CouO,Vcel,Db+5,Oina,Wemp,spriv,HerN,PerO,MerO,GppO,gpmO,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00062
AsN,1,Sf,25,T30,CouO,Vcel,Db+5,Oact,Wemp,spriv,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00063
AsN,1,Sh,57,T60,CouO,Vmar,Dbac,Oact,Wemp,spriv,HerO,PerN,MerO,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detN,bemN,hevN,00064
AsN,1,Sf,39,T40,CouN,Vcel,Db+5,Oina,WctA,spriv,HerN,PerO,MerO,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00065
AsN,1,Sh,60,T70,CouO,Vmar,Dtec,Oret,WctA,spriv,HerO,PerN,MerN,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoO,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,3,Nb>3,Ipro,terN,detO,bemN,hevO,00066
AsN,1,Sf,55,T60,CouO,Vmar,Db+5,Oact,WctA,spriv,HerO,PerN,MerN,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoO,ldfN,pelN,celN,qppN,asdN,RepO,QpeN,U5,Zidf,3,Nb>3,Ipro,terN,detO,bemN,hevO,00067
AsN,1,Sf,29,T30,CouN,Vcel,Db+5,Oina,Wemp,spriv,HerO,PerN,MerO,GppN,gpmO,JgvN,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeO,U5,Zidf,0,Nbe0,Ipro,terN,detN,bemN,hevN,00068
AsO,0,Sh,45,T50,CouO,Vmar,Db+5,Oact,WctA,spriv,HerO,PerO,MerN,GppN,gpmN,JgvN,LivO,EplO,fesO,vmoO,ldfO,pelO,celO,qppO,asdO,RepO,QpeO,U5,Zidf,0,Nbe0,Ipro,terO,detO,bemN,hevN,00069
AsN,1,Sf,47,T50,CouO,Vmar,Db+5,Oina,WctA,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celO,qppO,asdN,RepN,QpeO,U5,Zidf,0,Nbe0,Ipro,terO,detO,bemN,hevN,00070
AsN,1,Sh,52,T60,CouN,Vsep,Db+5,Oact,WctA,spub,HerN,PerN,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00071
